2017-06-06 09:50:15.063 INFO  DefaultFactory Logging to 'C:\Users\WithLin\Downloads\intro-to-nservicebus-5-retrying-errors\Billing\bin\Debug\' with level Info
2017-06-06 09:50:15.364 INFO  NServiceBus.LicenseManager Trial for the Particular Service Platform has been active since 2017/6/6.
2017-06-06 09:56:29.535 INFO  DefaultFactory Logging to 'C:\Users\WithLin\Downloads\intro-to-nservicebus-5-retrying-errors\Billing\bin\Debug\' with level Info
2017-06-06 09:56:29.763 INFO  NServiceBus.LicenseManager Trial for the Particular Service Platform has been active since 2017/6/6.
2017-06-06 09:56:35.332 INFO  NServiceBus.PerformanceMonitorUsersInstaller Did not attempt to add user 'LAPTOP-2UI7JK4L\WithLin' to group 'Performance Monitor Users' since the process is not running with elevated privileges. Processing will continue. To manually perform this action, run the following command from an admin console:
net localgroup "Performance Monitor Users" "LAPTOP-2UI7JK4L\WithLin" /add
2017-06-06 09:56:36.014 INFO  NServiceBus.QueuePermissions Queue [private$\error] is running with [Everyone] and/or [NT AUTHORITY\ANONYMOUS LOGON] permissions. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-06-06 09:56:36.143 INFO  NServiceBus.QueuePermissions Queue [private$\Billing.Timeouts] is running with [Everyone] and/or [NT AUTHORITY\ANONYMOUS LOGON] permissions. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-06-06 09:56:36.238 INFO  NServiceBus.QueuePermissions Queue [private$\Billing.TimeoutsDispatcher] is running with [Everyone] and/or [NT AUTHORITY\ANONYMOUS LOGON] permissions. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-06-06 09:56:36.247 INFO  NServiceBus.QueuePermissions Queue [private$\Billing.Retries] is running with [Everyone] and/or [NT AUTHORITY\ANONYMOUS LOGON] permissions. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-06-06 09:56:36.257 INFO  NServiceBus.QueuePermissions Queue [private$\Billing] is running with [Everyone] and/or [NT AUTHORITY\ANONYMOUS LOGON] permissions. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-06-06 09:56:36.317 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs pulled from the input queue /sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2017-06-06 09:56:36.326 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs successfully processed / sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2017-06-06 09:56:36.333 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs failures / sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2017-06-06 09:56:39.819 INFO  NServiceBus.SubscriptionReceiverBehavior Subscribe from Shipping@LAPTOP-2UI7JK4L on message type Messages.OrderBilled, Messages, Version=0.0.0.0, Culture=neutral, PublicKeyToken=null
2017-06-06 09:57:18.672 INFO  DefaultFactory Logging to 'C:\Users\WithLin\Downloads\intro-to-nservicebus-5-retrying-errors\Billing\bin\Debug\' with level Info
2017-06-06 09:57:18.949 INFO  NServiceBus.LicenseManager Trial for the Particular Service Platform has been active since 2017/6/6.
2017-06-06 09:57:19.952 INFO  NServiceBus.PerformanceMonitorUsersInstaller Did not attempt to add user 'LAPTOP-2UI7JK4L\WithLin' to group 'Performance Monitor Users' since the process is not running with elevated privileges. Processing will continue. To manually perform this action, run the following command from an admin console:
net localgroup "Performance Monitor Users" "LAPTOP-2UI7JK4L\WithLin" /add
2017-06-06 09:57:20.036 INFO  NServiceBus.QueuePermissions Queue [private$\error] is running with [Everyone] and/or [NT AUTHORITY\ANONYMOUS LOGON] permissions. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-06-06 09:57:20.050 INFO  NServiceBus.QueuePermissions Queue [private$\Billing.Timeouts] is running with [Everyone] and/or [NT AUTHORITY\ANONYMOUS LOGON] permissions. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-06-06 09:57:20.061 INFO  NServiceBus.QueuePermissions Queue [private$\Billing.TimeoutsDispatcher] is running with [Everyone] and/or [NT AUTHORITY\ANONYMOUS LOGON] permissions. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-06-06 09:57:20.072 INFO  NServiceBus.QueuePermissions Queue [private$\Billing.Retries] is running with [Everyone] and/or [NT AUTHORITY\ANONYMOUS LOGON] permissions. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-06-06 09:57:20.083 INFO  NServiceBus.QueuePermissions Queue [private$\Billing] is running with [Everyone] and/or [NT AUTHORITY\ANONYMOUS LOGON] permissions. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-06-06 09:57:20.101 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs pulled from the input queue /sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2017-06-06 09:57:20.110 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs successfully processed / sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2017-06-06 09:57:20.119 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs failures / sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2017-06-06 09:57:23.986 INFO  NServiceBus.SubscriptionReceiverBehavior Subscribe from Shipping@LAPTOP-2UI7JK4L on message type Messages.OrderBilled, Messages, Version=0.0.0.0, Culture=neutral, PublicKeyToken=null
2017-06-06 09:57:31.120 INFO  Billing.OrderPlacedHandler Received OrderPlaced, OrderId = dce2cd5d-b547-4aed-9297-ed671b977063 - Charging credit card...
