2017-06-06 09:50:15.511 INFO  DefaultFactory Logging to 'C:\Users\WithLin\Downloads\intro-to-nservicebus-5-retrying-errors\ClientUI\bin\Debug\' with level Info
2017-06-06 09:56:31.548 INFO  DefaultFactory Logging to 'C:\Users\WithLin\Downloads\intro-to-nservicebus-5-retrying-errors\ClientUI\bin\Debug\' with level Info
2017-06-06 09:56:32.174 INFO  NServiceBus.LicenseManager Trial for the Particular Service Platform has been active since 2017/6/6.
2017-06-06 09:56:36.237 INFO  NServiceBus.PerformanceMonitorUsersInstaller Did not attempt to add user 'LAPTOP-2UI7JK4L\WithLin' to group 'Performance Monitor Users' since the process is not running with elevated privileges. Processing will continue. To manually perform this action, run the following command from an admin console:
net localgroup "Performance Monitor Users" "LAPTOP-2UI7JK4L\WithLin" /add
2017-06-06 09:56:36.384 INFO  NServiceBus.QueuePermissions Queue [private$\error] is running with [Everyone] and/or [NT AUTHORITY\ANONYMOUS LOGON] permissions. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-06-06 09:56:36.405 INFO  NServiceBus.QueuePermissions Queue [private$\ClientUI.Timeouts] is running with [Everyone] and/or [NT AUTHORITY\ANONYMOUS LOGON] permissions. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-06-06 09:56:36.416 INFO  NServiceBus.QueuePermissions Queue [private$\ClientUI.TimeoutsDispatcher] is running with [Everyone] and/or [NT AUTHORITY\ANONYMOUS LOGON] permissions. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-06-06 09:56:36.425 INFO  NServiceBus.QueuePermissions Queue [private$\ClientUI.Retries] is running with [Everyone] and/or [NT AUTHORITY\ANONYMOUS LOGON] permissions. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-06-06 09:56:36.434 INFO  NServiceBus.QueuePermissions Queue [private$\ClientUI] is running with [Everyone] and/or [NT AUTHORITY\ANONYMOUS LOGON] permissions. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-06-06 09:56:36.450 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs pulled from the input queue /sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2017-06-06 09:56:36.457 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs successfully processed / sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2017-06-06 09:56:36.465 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs failures / sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2017-06-06 09:56:36.488 INFO  ClientUI.Program Press 'P' to place an order, or 'Q' to quit.
2017-06-06 09:56:40.999 INFO  NServiceBus.Unicast.UnicastBus Initiating shutdown.
