2017-06-06 09:50:15.195 INFO  DefaultFactory Logging to 'C:\Users\WithLin\Downloads\intro-to-nservicebus-5-retrying-errors\Sales\bin\Debug\' with level Info
2017-06-06 09:50:15.540 INFO  NServiceBus.LicenseManager Trial for the Particular Service Platform has been active since 2017/6/6.
2017-06-06 09:51:59.607 INFO  DefaultFactory Logging to 'C:\Users\WithLin\Downloads\intro-to-nservicebus-5-retrying-errors\Sales\bin\Debug\' with level Info
2017-06-06 09:51:59.842 INFO  NServiceBus.LicenseManager Trial for the Particular Service Platform has been active since 2017/6/6.
2017-06-06 09:56:28.742 INFO  DefaultFactory Logging to 'C:\Users\WithLin\Downloads\intro-to-nservicebus-5-retrying-errors\Sales\bin\Debug\' with level Info
2017-06-06 09:56:28.984 INFO  NServiceBus.LicenseManager Trial for the Particular Service Platform has been active since 2017/6/6.
2017-06-06 09:56:35.332 INFO  NServiceBus.PerformanceMonitorUsersInstaller Did not attempt to add user 'LAPTOP-2UI7JK4L\WithLin' to group 'Performance Monitor Users' since the process is not running with elevated privileges. Processing will continue. To manually perform this action, run the following command from an admin console:
net localgroup "Performance Monitor Users" "LAPTOP-2UI7JK4L\WithLin" /add
2017-06-06 09:56:35.855 INFO  NServiceBus.QueuePermissions Queue [private$\error] is running with [Everyone] and/or [NT AUTHORITY\ANONYMOUS LOGON] permissions. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-06-06 09:56:36.080 INFO  NServiceBus.QueuePermissions Queue [private$\Sales.Timeouts] is running with [Everyone] and/or [NT AUTHORITY\ANONYMOUS LOGON] permissions. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-06-06 09:56:36.208 INFO  NServiceBus.QueuePermissions Queue [private$\Sales.TimeoutsDispatcher] is running with [Everyone] and/or [NT AUTHORITY\ANONYMOUS LOGON] permissions. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-06-06 09:56:36.240 INFO  NServiceBus.QueuePermissions Queue [private$\Sales.Retries] is running with [Everyone] and/or [NT AUTHORITY\ANONYMOUS LOGON] permissions. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-06-06 09:56:36.263 INFO  NServiceBus.QueuePermissions Queue [private$\Sales] is running with [Everyone] and/or [NT AUTHORITY\ANONYMOUS LOGON] permissions. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-06-06 09:56:36.320 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs pulled from the input queue /sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2017-06-06 09:56:36.328 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs successfully processed / sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2017-06-06 09:56:36.336 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs failures / sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2017-06-06 09:56:40.062 INFO  NServiceBus.SubscriptionReceiverBehavior Subscribe from Shipping@LAPTOP-2UI7JK4L on message type Messages.OrderPlaced, Messages, Version=0.0.0.0, Culture=neutral, PublicKeyToken=null
2017-06-06 09:56:40.064 INFO  NServiceBus.SubscriptionReceiverBehavior Subscribe from Billing@LAPTOP-2UI7JK4L on message type Messages.OrderPlaced, Messages, Version=0.0.0.0, Culture=neutral, PublicKeyToken=null
2017-06-06 09:57:17.859 INFO  DefaultFactory Logging to 'C:\Users\WithLin\Downloads\intro-to-nservicebus-5-retrying-errors\Sales\bin\Debug\' with level Info
2017-06-06 09:57:18.089 INFO  NServiceBus.LicenseManager Trial for the Particular Service Platform has been active since 2017/6/6.
2017-06-06 09:57:18.156 INFO  NServiceBus.PerformanceMonitorUsersInstaller Did not attempt to add user 'LAPTOP-2UI7JK4L\WithLin' to group 'Performance Monitor Users' since the process is not running with elevated privileges. Processing will continue. To manually perform this action, run the following command from an admin console:
net localgroup "Performance Monitor Users" "LAPTOP-2UI7JK4L\WithLin" /add
2017-06-06 09:57:18.755 INFO  NServiceBus.QueuePermissions Queue [private$\error] is running with [Everyone] and/or [NT AUTHORITY\ANONYMOUS LOGON] permissions. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-06-06 09:57:18.782 INFO  NServiceBus.QueuePermissions Queue [private$\Sales.Timeouts] is running with [Everyone] and/or [NT AUTHORITY\ANONYMOUS LOGON] permissions. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-06-06 09:57:18.796 INFO  NServiceBus.QueuePermissions Queue [private$\Sales.TimeoutsDispatcher] is running with [Everyone] and/or [NT AUTHORITY\ANONYMOUS LOGON] permissions. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-06-06 09:57:18.813 INFO  NServiceBus.QueuePermissions Queue [private$\Sales.Retries] is running with [Everyone] and/or [NT AUTHORITY\ANONYMOUS LOGON] permissions. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-06-06 09:57:18.828 INFO  NServiceBus.QueuePermissions Queue [private$\Sales] is running with [Everyone] and/or [NT AUTHORITY\ANONYMOUS LOGON] permissions. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-06-06 09:57:18.918 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs pulled from the input queue /sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2017-06-06 09:57:18.929 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs successfully processed / sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2017-06-06 09:57:18.950 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs failures / sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2017-06-06 09:57:21.880 INFO  NServiceBus.SubscriptionReceiverBehavior Subscribe from Billing@LAPTOP-2UI7JK4L on message type Messages.OrderPlaced, Messages, Version=0.0.0.0, Culture=neutral, PublicKeyToken=null
2017-06-06 09:57:21.912 INFO  NServiceBus.SubscriptionReceiverBehavior Subscribe from Shipping@LAPTOP-2UI7JK4L on message type Messages.OrderPlaced, Messages, Version=0.0.0.0, Culture=neutral, PublicKeyToken=null
2017-06-06 09:57:30.844 INFO  Sales.PlaceOrderHandler Received PlaceOrder, OrderId = dce2cd5d-b547-4aed-9297-ed671b977063
