2017-06-06 09:50:14.529 INFO  DefaultFactory Logging to 'C:\Users\WithLin\Downloads\intro-to-nservicebus-5-retrying-errors\Shipping\bin\Debug\' with level Info
2017-06-06 09:50:14.750 INFO  NServiceBus.LicenseManager Trial for the Particular Service Platform has been active since 2017/6/6.
2017-06-06 09:56:30.328 INFO  DefaultFactory Logging to 'C:\Users\WithLin\Downloads\intro-to-nservicebus-5-retrying-errors\Shipping\bin\Debug\' with level Info
2017-06-06 09:56:30.603 INFO  NServiceBus.LicenseManager Trial for the Particular Service Platform has been active since 2017/6/6.
2017-06-06 09:56:36.207 INFO  NServiceBus.PerformanceMonitorUsersInstaller Did not attempt to add user 'LAPTOP-2UI7JK4L\WithLin' to group 'Performance Monitor Users' since the process is not running with elevated privileges. Processing will continue. To manually perform this action, run the following command from an admin console:
net localgroup "Performance Monitor Users" "LAPTOP-2UI7JK4L\WithLin" /add
2017-06-06 09:56:36.378 INFO  NServiceBus.QueuePermissions Queue [private$\error] is running with [Everyone] and/or [NT AUTHORITY\ANONYMOUS LOGON] permissions. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-06-06 09:56:36.403 INFO  NServiceBus.QueuePermissions Queue [private$\Shipping.Timeouts] is running with [Everyone] and/or [NT AUTHORITY\ANONYMOUS LOGON] permissions. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-06-06 09:56:36.413 INFO  NServiceBus.QueuePermissions Queue [private$\Shipping.TimeoutsDispatcher] is running with [Everyone] and/or [NT AUTHORITY\ANONYMOUS LOGON] permissions. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-06-06 09:56:36.422 INFO  NServiceBus.QueuePermissions Queue [private$\Shipping.Retries] is running with [Everyone] and/or [NT AUTHORITY\ANONYMOUS LOGON] permissions. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-06-06 09:56:36.447 INFO  NServiceBus.QueuePermissions Queue [private$\Shipping] is running with [Everyone] and/or [NT AUTHORITY\ANONYMOUS LOGON] permissions. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
